date,open,high,low,close,volume
2026-06-25 04:00:00,113.73,117.58,113.68,114.17,238140.0
2026-06-26 04:00:00,114.24,116.59,113.95,115.37,192344.0
2026-06-29 04:00:00,116.12,116.715,112.79,114.915,223638.0
2026-06-30 04:00:00,115.17,117.665,114.865,117.62,251092.0
2026-07-01 04:00:00,118.465,120.94,118.05,119.545,191038.0
2026-07-02 04:00:00,122.65,123.31,120.77,122.82,137637.0
2026-07-06 04:00:00,123.775,124.345,122.6,123.405,156156.0
2026-07-07 04:00:00,122.83,122.98,119.765,120.845,234330.0
2026-07-08 04:00:00,118.825,119.045,116.81,118.62,146073.0
2026-07-09 04:00:00,119.02,122.85,118.82,122.14,183031.0
2026-07-10 04:00:00,124.34,125.595,122.87,123.07,129354.0
2026-07-13 04:00:00,123.335,124.09,120.83,122.06,153157.0
2026-07-14 04:00:00,122.36,125.505,122.15,124.6,199200.0
2026-07-15 04:00:00,127.685,130.53,126.675,127.03,223061.0
2026-07-16 04:00:00,126.575,128.96,125.34,128.94,227041.0
2026-07-17 04:00:00,127.17,130.795,126.15,126.85,152554.0
2026-07-20 04:00:00,126.78,126.78,122.92,123.64,246722.0
2026-07-21 04:00:00,124.02,124.88,123.28,124.12,172234.0
2026-07-22 04:00:00,124.22,125.34,122.25,122.85,239138.0
2026-07-23 04:00:00,121.175,126.475,119.945,124.495,367709.0
2026-07-24 04:00:00,124.865,129.95,124.54,129.95,270161.0
2026-07-27 04:00:00,132.47,135.34,130.42,132.56,338411.0
2026-07-28 04:00:00,132.27,134.015,130.55,133.895,320911.0
2026-07-29 04:00:00,132.89,133.02,127.82,129.385,262317.0
2026-07-30 04:00:00,130.34,130.34,125.775,128.06,242425.0
2026-07-31 04:00:00,127.965,129.07,127.28,127.75,195722.0
2026-08-03 04:00:00,127.96,135.2,127.96,134.66,248986.0
2026-08-04 04:00:00,134.72,137.59,134.51,137.26,279518.0
2026-08-05 04:00:00,138.99,139.83,134.71,136.005,162390.0
2026-08-06 04:00:00,136.07,136.41,132.785,133.47,194678.0
2026-08-07 04:00:00,134.685,138.48,134.685,137.14,316734.0
2026-08-10 04:00:00,137.02,141.69,136.94,141.66,316412.0
2026-08-11 04:00:00,142.225,148.235,142.225,147.135,556962.0
2026-08-12 04:00:00,148.6,148.62,144.36,146.45,230317.0
2026-08-13 04:00:00,147.41,150.22,145.525,149.34,208791.0
2026-08-14 04:00:00,149.34,149.34,143.855,143.95,138938.0
2026-08-17 04:00:00,141.98,142.32,139.55,140.595,172365.0
2026-08-18 04:00:00,139.75,141.425,138.55,140.57,145105.0
2026-08-19 04:00:00,143.26,146.755,143.26,145.18,133574.0
2026-08-20 04:00:00,144.04,144.225,141.11,141.375,150993.0
2026-08-21 04:00:00,143.67,144.92,142.895,143.39,92736.0
2026-08-24 04:00:00,143.76,145.58,143.0,143.67,83942.0
2026-08-25 04:00:00,142.9,143.64,141.69,143.395,80926.0
2026-08-26 04:00:00,142.4,144.35,142.4,143.18,71036.0
2026-08-27 04:00:00,143.34,145.515,143.17,143.59,153450.0
2026-08-28 04:00:00,144.695,145.685,142.335,142.39,130017.0
2026-08-31 04:00:00,141.75,144.435,141.4,143.255,120652.0
2026-09-01 04:00:00,139.47,140.78,136.05,136.65,159643.0
2026-09-02 04:00:00,136.705,139.44,136.06,136.85,90062.0
