date,open,high,low,close,volume
2026-06-04,514.75,532.1900024414062,499.8699951171875,523.2000122070312,29110000.0
2026-06-05,499.5299987792969,505.6199951171875,463.95001220703125,466.3800048828125,46900600.0
2026-06-08,485.0,494.9700012207031,477.7099914550781,490.3299865722656,25158800.0
2026-06-09,502.75,505.0,437.2300109863281,475.510009765625,37799800.0
2026-06-10,467.9700012207031,477.45001220703125,448.3299865722656,452.3999938964844,27777400.0
2026-06-11,461.6000061035156,490.4599914550781,458.0199890136719,488.45001220703125,30463100.0
2026-06-12,499.69000244140625,521.7100219726562,494.0,511.57000732421875,31553100.0
2026-06-15,535.75,558.3699951171875,530.5,547.260009765625,33482400.0
2026-06-16,546.8900146484375,548.9500122070312,507.25,507.2900085449219,28411700.0
2026-06-17,529.6599731445312,532.5,507.29998779296875,512.47998046875,27085300.0
2026-06-18,531.5800170898438,539.6900024414062,526.3200073242188,537.3699951171875,43805600.0
2026-06-22,545.5,562.989990234375,535.7100219726562,551.6300048828125,25983200.0
2026-06-23,509.0799865722656,528.489990234375,506.80999755859375,519.8499755859375,30196800.0
2026-06-24,520.8200073242188,524.9600219726562,503.5,519.739990234375,26548300.0
2026-06-25,543.9299926757812,550.8800048828125,507.0,532.5700073242188,27031300.0
2026-06-26,519.7999877929688,525.1099853515625,502.6099853515625,521.5800170898438,52705100.0
2026-06-29,522.8400268554688,542.1900024414062,495.3500061035156,539.489990234375,26671000.0
2026-06-30,545.5700073242188,584.72998046875,545.5700073242188,580.9099731445312,34488500.0
2026-07-01,557.530029296875,564.0900268554688,538.739990234375,540.8800048828125,28326800.0
2026-07-02,538.1599731445312,547.6500244140625,506.0,517.8200073242188,28142500.0
2026-07-06,535.3499755859375,572.5,527.0,552.0499877929688,30684200.0
2026-07-07,515.9099731445312,524.969970703125,503.1099853515625,516.1099853515625,29166800.0
2026-07-08,504.80999755859375,522.97998046875,498.1499938964844,517.4099731445312,23768500.0
2026-07-09,537.27001953125,559.5,535.2000122070312,546.719970703125,26900800.0
2026-07-10,544.010009765625,560.25,540.0499877929688,557.8900146484375,20704500.0
2026-07-13,537.5,551.8699951171875,526.9199829101562,534.3900146484375,22957400.0
2026-07-14,567.219970703125,574.2000122070312,546.77001953125,548.1300048828125,21201400.0
2026-07-15,556.02001953125,558.8900146484375,509.57000732421875,529.1400146484375,27826200.0
2026-07-16,509.3299865722656,518.739990234375,491.79998779296875,500.94000244140625,27093700.0
2026-07-17,476.8800048828125,505.8800048828125,460.2099914550781,495.760009765625,32115900.0
2026-07-20,517.0,522.4400024414062,502.3599853515625,503.57000732421875,23440700.0
2026-07-21,526.0,548.1400146484375,522.5999755859375,544.4299926757812,29045100.0
2026-07-22,526.8800048828125,561.469970703125,526.5999755859375,552.3300170898438,24776700.0
2026-07-23,544.739990234375,556.489990234375,525.0,539.6900024414062,27155100.0
2026-07-24,546.9199829101562,549.0,518.0,521.9500122070312,27200700.0
2026-07-27,527.510009765625,528.0,476.92999267578125,494.95001220703125,31800300.0
2026-07-28,467.0,472.75,442.2699890136719,454.6199951171875,36315500.0
2026-07-29,452.67999267578125,457.2200012207031,424.0299987792969,429.55999755859375,32304900.0
2026-07-30,460.0,498.20001220703125,457.67999267578125,485.3900146484375,36936600.0
2026-07-31,510.2799987792969,515.6199951171875,475.760009765625,476.1499938964844,26615700.0
2026-08-03,461.7900085449219,490.95001220703125,455.29998779296875,484.6400146484375,24422300.0
2026-08-04,504.0,530.1300048828125,502.20001220703125,518.5800170898438,48463600.0
2026-08-05,484.5,502.0,478.20001220703125,482.04998779296875,49615800.0
2026-08-06,471.75,496.7200012207031,469.5,489.2799987792969,24675300.0
2026-08-07,497.94000244140625,498.989990234375,476.05999755859375,483.3599853515625,26618800.0
2026-08-10,477.0899963378906,483.3599853515625,469.2900085449219,469.55999755859375,19656600.0
2026-08-11,474.75,475.989990234375,463.2099914550781,474.32000732421875,18052500.0
2026-08-12,488.32000732421875,491.69000244140625,480.8800048828125,482.92999267578125,18628300.0
2026-08-13,483.0,497.989990234375,481.0,483.010009765625,18764900.0
2026-08-14,487.6000061035156,514.6699829101562,483.20001220703125,514.3900146484375,25570300.0
2026-08-17,514.1599731445312,517.3499755859375,504.5199890136719,506.0,20057600.0
2026-08-18,487.55999755859375,491.80999755859375,474.9800109863281,484.3900146484375,23721500.0
2026-08-19,486.0799865722656,487.010009765625,462.54998779296875,466.4200134277344,19208400.0
2026-08-20,465.6700134277344,475.5299987792969,460.2699890136719,469.4599914550781,15178900.0
2026-08-21,476.5,477.3599853515625,462.1099853515625,473.25,14343900.0
2026-08-24,468.5400085449219,468.5400085449219,451.0,456.75,16602200.0
2026-08-25,474.20001220703125,481.5,469.07000732421875,479.17999267578125,19001400.0
2026-08-26,475.07000732421875,491.1199951171875,474.5799865722656,480.92999267578125,14348100.0
2026-08-27,481.5,483.0,469.6300048828125,476.6700134277344,16441800.0
2026-08-28,472.5199890136719,478.75,465.2900085449219,465.5799865722656,15338800.0
